Symbol,Interval,Hurst Exponent,Deviation,Average Volume,Data Points
SRE,2m,0.542833634858816,0.04283363485881597,10408.307251620685,6633
KEY,2m,0.5386501993585003,0.03865019935850034,46217.38911503091,6633
PEG,2m,0.533958123009625,0.033958123009624974,10071.706015377657,6633
MPC,2m,0.5330261506290807,0.03302615062908065,10348.214231870948,6633
AEP,2m,0.5321042611428236,0.03210426114282361,10388.911050806573,6633
KVUE,2m,0.5318711820768898,0.03187118207688977,96786.39996984773,6633
CL,2m,0.5304578792148996,0.03045787921489962,15731.004824363034,6633
HPE,2m,0.5239442776078598,0.023944277607859776,75537.59535655058,6633
MET,2m,0.5171874747758971,0.017187474775897105,11316.037991858888,6633
LVS,2m,0.5157147141262476,0.015714714126247586,21496.88074777627,6633
DOW,2m,0.5153759805136104,0.015375980513610443,15424.23880597015,6633
CVS,2m,0.5106335313241603,0.010633531324160339,70018.7121965928,6633
GIS,2m,0.507957668966888,0.007957668966887987,13309.165083672546,6633
CVX,2m,0.5047484805419002,0.004748480541900246,28615.984622342832,6633
GPN,2m,0.6283909880676742,0.12839098806767424,11209.725120627261,6632
BAX,2m,0.595742543171302,0.09574254317130204,20091.59047044632,6632
COP,2m,0.5783446330005918,0.0783446330005918,22933.03980699638,6632
MOS,2m,0.5410516536474298,0.0410516536474298,16933.390832328107,6632
BA,2m,0.539648753406479,0.039648753406479,28858.476779252112,6632
DVN,2m,0.5333072338587368,0.033307233858736796,25635.180337756334,6632
IPG,2m,0.4705756043692073,0.029424395630792688,10628.363540410133,6632
UBER,2m,0.474170873435333,0.025829126564667015,91591.88072979494,6632
SYF,2m,0.476222768679583,0.02377723132041698,15184.210494571773,6632
TFC,2m,0.520059110812194,0.020059110812194025,25576.104794933653,6632
DOC,2m,0.4862481491877057,0.013751850812294297,17567.568003618817,6632
GEHC,2m,0.5099231905014678,0.009923190501467838,11330.538449939686,6632
USB,2m,0.4934781304334023,0.006521869566597727,28672.12605548854,6632
DUK,2m,0.5043715445283874,0.004371544528387394,10386.03558504222,6632
DAL,2m,0.5010444216832027,0.0010444216832027342,29213.71607358263,6632
K,2m,0.5008889055802203,0.0008889055802202561,10752.50165862485,6632
GLW,2m,0.5881868293909382,0.08818682939093825,21514.86940129694,6631
AMCR,2m,0.5657704519774714,0.06577045197747144,32774.469461619665,6631
AES,2m,0.5611268923686561,0.061126892368656094,33366.729904991706,6631
BMY,2m,0.5495804860976211,0.04958048609762111,57356.92248529634,6631
SCHW,2m,0.5432073595913163,0.043207359591316274,26407.33358467803,6631
CCI,2m,0.5250425951220119,0.0250425951220119,9778.424068767908,6631
BSX,2m,0.5198436278957372,0.019843627895737237,21728.24053687227,6631
CAG,2m,0.5170408624625015,0.01704086246250147,14217.779369627508,6631
ADM,2m,0.5061358624041564,0.0061358624041564225,14246.707736389684,6631
BAC,2m,0.49447808698798434,0.005521913012015656,135430.3753581662,6631
LLY,2m,0.5574806156732538,0.0574806156732538,11470.716440422322,6630
CAT,2m,0.5439362099335857,0.04393620993358571,10876.19472096531,6630
D,2m,0.4592673086823523,0.040732691317647673,16570.710105580692,6630
KMB,2m,0.5388541017159576,0.0388541017159576,7342.111312217195,6630
CCL,2m,0.533177171925454,0.033177171925453997,126070.61825037707,6630
IR,2m,0.5309990987087144,0.030999098708714423,14126.149019607843,6630
C,2m,0.4746785138834207,0.025321486116579306,42884.95761689291,6630
CNP,2m,0.5228369203891223,0.022836920389122328,20516.619306184013,6630
INCY,2m,0.5194873347020885,0.01948733470208852,13607.19472096531,6630
BWA,2m,0.516936259631782,0.016936259631782025,11296.021568627451,6630
AXP,2m,0.5155453338386754,0.015545333838675401,11041.296681749624,6630
EA,2m,0.5118012471002469,0.011801247100246881,9334.623981900453,6630
CARR,2m,0.5055865394208234,0.005586539420823433,14758.596832579186,6630
KO,2m,0.4946669513135563,0.005333048686443687,40741.16485671192,6630
COF,2m,0.5026895561448161,0.002689556144816141,8294.087782805429,6630
SYY,2m,0.5013908425830601,0.0013908425830601034,13297.888687782806,6630
UPS,2m,0.5643382430976807,0.06433824309768066,12477.281792125508,6629
EXPE,2m,0.5570766576517338,0.05707665765173375,12788.182229597225,6629
BBY,2m,0.5482216835286918,0.04822168352869183,14724.050988082667,6629
CFG,2m,0.5067686964346078,0.006768696434607757,16258.29205008297,6629
BK,2m,0.4999966803274979,3.3196725021111817e-06,11256.305928496002,6629
HRL,2m,0.5895919251414959,0.08959192514149594,10055.242456246227,6628
APH,2m,0.5892008930294387,0.08920089302943868,14741.616777308389,6628
CEG,2m,0.5513524986453007,0.05135249864530067,12900.054315027157,6628
EMR,2m,0.5452687598105694,0.04526875981056944,10978.446590223295,6628
PWR,1d,0.5420423061926527,0.0420423061926527,1466325.8467109234,6628
ICE,2m,0.5418019485216962,0.041801948521696164,8129.589318044659,6628
MO,2m,0.5371769830894365,0.03717698308943651,36948.368889559446,6628
ACN,2m,0.5371007398015218,0.03710073980152184,12901.253922751961,6628
AFL,2m,0.5304737566136886,0.030473756613688563,7427.738835244418,6628
HES,2m,0.5268234447985988,0.026823444798598772,10079.940706095353,6628
BX,2m,0.5266414959820046,0.026641495982004604,13829.548732649366,6628
ETN,2m,0.5214121650378867,0.021412165037886677,9050.633373566687,6628
EW,2m,0.4835180192061044,0.016481980793895623,9522.204888352444,6628
ES,2m,0.512679023038961,0.012679023038960957,7463.003319251659,6628
CPB,2m,0.50980673958331,0.00980673958331002,10538.705944477972,6628
FE,2m,0.49661071467822315,0.003389285321776847,9687.466505733253,6628
FI,2m,0.4974693891818588,0.00253061081814121,8882.369945684974,6628
AIG,2m,0.5006087397562722,0.0006087397562721808,15152.7407966204,6628
TAP,2m,0.6123130384068489,0.11231303840684892,10293.844726120416,6627
MMM,2m,0.5521781784656817,0.052178178465681735,20422.118907499622,6627
CTRA,2m,0.45748549352292284,0.04251450647707716,23433.6746642523,6627
STT,2m,0.527017216575142,0.027017216575142,7008.1889240983855,6627
BBWI,2m,0.524938239991734,0.024938239991733946,12785.96227553946,6627
FSLR,2m,0.609992845451328,0.10999284545132804,15044.660881376396,6626
TPR,2m,0.5465603775163218,0.046560377516321805,12874.229852097797,6626
PRU,2m,0.5403773064276683,0.04037730642766835,5043.81044370661,6626
HWM,2m,0.5360368780540504,0.036036878054050425,11904.461515242981,6626
NDAQ,2m,0.5090974122066444,0.009097412206644395,9270.425596136432,6626
ALB,2m,0.504626183626341,0.0046261836263410405,10471.7624509508,6626
TER,2m,0.5989001648760682,0.09890016487606823,8240.162264150944,6625
EL,2m,0.5727278747175539,0.07272787471755393,12890.644981132076,6625
AMT,2m,0.5585860544322246,0.058586054432224643,9794.292075471698,6625
LULU,2m,0.5449089718345365,0.04490897183453646,12469.589433962265,6625
TSN,2m,0.5349736834548526,0.03497368345485263,9812.73766037736,6625
LYV,2m,0.5188145225339179,0.01881452253391791,9437.931169811322,6625
ABBV,2m,0.5156705334987782,0.015670533498778227,18810.01041509434,6625
ED,2m,0.5141220272472383,0.014122027247238322,7643.964528301887,6625
CF,2m,0.4973361310768246,0.002663868923175383,8610.975396226415,6625
CMS,2m,0.4996274155730308,0.00037258442696919136,8247.886473429951,6624
ANET,2m,0.5816857054704309,0.08168570547043086,11549.826664653481,6623
FMC,2m,0.5560603947910229,0.05606039479102287,8382.114449645176,6623
T,2m,0.551889694721592,0.051889694721591995,126479.59338668277,6623
UNP,2m,0.5397975445337576,0.03979754453375761,8014.476219235996,6623
IVZ,2m,0.5289499215291797,0.028949921529179745,17338.018873622226,6623
APTV,2m,0.5282525069289902,0.028252506928990173,10548.669636116563,6623
