,AAPL,GOOGL,MSFT,AMZN,META,TSLA,NVDA,PYPL,ADBE,INTC
1843,138.9499969482422,97.13999938964844,225.44000244140625,112.19999694824219,128.55999755859375,216.58999633789062,115.86000061035156,83.11000061035156,284.9599914550781,25.040000915527344
1844,139.6750030517578,98.13999938964844,225.47999572753906,112.45249938964844,128.03729248046875,213.22999572753906,114.44000244140625,83.19999694824219,286.82000732421875,25.06999969482422
1845,139.67999267578125,97.9000015258789,225.33470153808594,112.63999938964844,127.9937973022461,216.6699981689453,115.48999786376953,83.67960357666016,288.30499267578125,25.299999237060547
1846,139.16000366210938,97.2300033569336,224.97500610351562,112.55999755859375,127.01499938964844,214.86000061035156,114.74240112304688,84.55999755859375,288.260009765625,25.350000381469727
1847,139.10499572753906,97.41999816894531,226.49000549316406,113.01000213623047,127.19000244140625,215.6999969482422,115.51499938964844,84.62000274658203,289.0299987792969,25.334999084472656
1848,139.22000122070312,97.95999908447266,227.50999450683594,113.66500091552734,127.77999877929688,218.55999755859375,116.19719696044922,84.62999725341797,288.5450134277344,25.47010040283203
1849,138.49099731445312,97.58999633789062,226.26499938964844,113.20169830322266,127.62000274658203,216.75039672851562,115.41999816894531,84.18000030517578,286.70001220703125,25.46500015258789
1850,138.3000030517578,97.51000213623047,225.69000244140625,112.88999938964844,127.4800033569336,217.16000366210938,115.01000213623047,83.80000305175781,286.0450134277344,25.299999237060547
1851,135.77999877929688,95.66999816894531,224.34939575195312,108.41000366210938,124.93000030517578,207.9499969482422,111.4999008178711,81.04000091552734,285.2699890136719,25.289899826049805
1852,139.6905059814453,97.87999725341797,229.77999877929688,111.1500015258789,128.64999389648438,216.77020263671875,117.54000091552734,83.62999725341797,293.79998779296875,26.31999969482422
1853,140.3000030517578,97.9000015258789,232.0,110.62010192871094,128.69000244140625,216.88999938964844,117.09010314941406,83.06999969482422,290.7749938964844,25.940000534057617
1854,141.6999969482422,98.9302978515625,234.67999267578125,112.05000305175781,130.59829711914062,221.6699981689453,119.54440307617188,84.37999725341797,294.5199890136719,26.31999969482422
1855,141.0,98.61000061035156,233.67010498046875,111.34089660644531,129.45730590820312,218.7949981689453,118.41010284423828,83.44999694824219,292.760009765625,26.15530014038086
1856,142.49000549316406,99.2699966430664,235.0399932861328,112.54000091552734,130.58999633789062,220.69500732421875,119.5,84.41000366210938,294.82000732421875,26.367900848388672
1857,142.91000366210938,99.08999633789062,234.22999572753906,112.45999908447266,130.25,221.8300018310547,119.58000183105469,84.04000091552734,294.57000732421875,26.420000076293945
1858,140.63999938964844,97.8853988647461,231.86000061035156,110.68830108642578,128.2899932861328,213.66000366210938,114.29000091552734,81.94999694824219,291.6199951171875,25.923999786376953
1859,140.3800048828125,98.08999633789062,231.94000244140625,110.56999969482422,128.7100067138672,212.0399932861328,114.5999984741211,81.83000183105469,292.7349853515625,26.184999465942383
1860,139.45010375976562,97.11000061035156,230.0800018310547,109.16999816894531,128.1999969482422,209.60000610351562,113.54989624023438,81.4000015258789,289.9100036621094,26.135000228881836
1861,139.25,97.27999877929688,230.19000244140625,108.68879699707031,128.00999450683594,208.9199981689453,113.56839752197266,81.05000305175781,290.1000061035156,26.165000915527344
1862,138.74000549316406,96.92980194091797,229.44000244140625,107.88059997558594,127.77999877929688,208.0,113.29000091552734,80.87999725341797,288.8800048828125,26.1200008392334
